FID,id_1,RASTERVALU,NEAR_DIST
60551,229,37.643642425499998,130.773088328999990
60552,229,37.654319763200000,131.771356179000010
60553,229,37.738899230999998,132.769624029000000
60554,229,37.781055450399997,133.767891878999990
60555,229,37.736633300800001,134.766159729000010
60556,229,37.661911010700003,135.764427579000000
60557,229,37.582828521700002,136.762695428000000
60558,229,37.582828521700002,137.760963277999990
60559,229,37.552814483600002,138.759231128000010
60560,229,37.643970489499999,139.757498978000000
60561,229,38.151309967000003,140.755766827999990
60562,229,38.226665496800003,141.754034678000010
60563,229,38.451019287100003,142.752302527000010
60564,229,37.855678558299999,143.750570377000000
60565,229,36.921344757100002,144.748838226999990
60566,229,36.921344757100002,145.747106077000010
60567,229,36.315868377699999,146.745373927000000
60568,229,36.258792877200001,147.743641776999990
60569,229,36.380767822300001,148.741909627000010
60570,229,36.432231903100003,149.740177476000010
60571,229,36.432231903100003,150.738445326000000
60572,229,35.560733795200001,151.736713175999990
60573,229,35.266143798800002,152.734981025000000
60574,229,36.243480682399998,153.733248876000000
60575,229,35.698314666700000,154.731516725000010
60576,229,34.777954101600002,155.729784575000000
60577,229,35.212413787800003,156.728052424999990
60578,229,34.801692962600001,157.726320275000010
60579,229,34.801692962600001,158.724588125000000
60580,229,35.315238952599998,159.722855974999990
60581,229,34.506298065199999,160.721123823999990
60582,229,34.693256378199997,161.719391674000010
60583,229,35.394115448000001,162.717659524000000
60584,229,35.215065002400003,163.715927373999990
60585,229,35.667217254599997,164.714195224000010
60586,229,35.196220397899999,165.712463074000000
60587,229,35.549076080299997,166.710730923000000
60588,229,35.821090698200003,167.708998772999990
60589,229,36.323299407999997,168.707266623000010
60590,229,35.971546173100002,169.705534473000000
60591,229,36.018726348900003,170.703802322999990
60592,229,35.789218902599998,171.702070171999990
60593,229,35.789218902599998,172.700338023000000
60594,229,38.818416595499997,173.698605872000000
60595,229,40.278144836400003,174.696873721999990
60596,229,40.483661651600002,175.695141572000010
60597,229,41.010189056400002,176.693409422000000
60598,229,41.059070587199997,177.691677271999990
60599,229,41.434391021700002,178.689945122000010
60600,229,42.412418365500002,179.688212971000010
60601,229,42.412418365500002,180.686480821000000
60602,229,42.431838989299997,181.684748670999990
60603,229,42.498191833500002,182.683016521000010
60604,229,42.857673644999998,183.681284371000000
60605,229,43.726360321000001,184.679552220999990
60606,229,43.726360321000001,185.677820071000010
60607,229,43.804176330600001,186.676087919999990
60608,229,44.078197479200000,187.674355770999990
60609,229,44.694412231400001,188.672623620000000
60610,229,44.318222045900001,189.670891469999990
60611,229,45.049263000499998,190.669159320000010
60612,229,44.624717712399999,191.667427170000000
60613,229,45.064563751199998,192.665695019999990
60614,229,45.064563751199998,193.663962870000010
60615,229,44.700557708700003,194.662230719000010
60616,229,45.043453216600000,195.660498569000000
60617,229,45.524059295699999,196.658766418999990
60618,229,45.514057159399997,197.657034269000010
60619,229,45.487903594999999,198.655302118000010
60620,229,45.514667510999999,199.653569968000000
60621,229,44.840415954599997,200.651837817999990
60622,229,45.873004913300001,201.650105668000010
60623,229,45.873004913300001,202.648373518000000
60624,229,45.801116943399997,203.646641367999990
60625,229,46.001857757600000,204.644909216999990
60626,229,46.066749572799999,205.643177067000010
60627,229,46.159713745099999,206.641444917000000
60628,229,45.717281341600000,207.639712766999990
60629,229,45.754970550499998,208.637980617000010
60630,229,46.332538604699998,209.636248467000000
60631,229,46.008697509800001,210.634516316000000
60632,229,46.012126922599997,211.632784167000010
60633,229,46.697353362999998,212.631052016000010
60634,229,46.203285217299999,213.629319866000000
60635,229,46.370338439900003,214.627587715999990
60636,229,46.370338439900003,215.625855566000010
60637,229,46.238929748499999,216.624123416000000
60638,229,46.287361144999998,217.622391265000000
60639,229,46.656261444099997,218.620659115000000
60640,229,46.840686798100002,219.618926965000010
60641,229,46.778606414800002,220.617194815000000
60642,229,46.376804351799997,221.615462665000000
60643,229,46.258243560799997,222.613730514999990
60644,229,46.325469970699999,223.611998363999990
60645,229,47.177284240699997,224.610266215000000
60646,229,46.267257690400001,225.608534064000000
60647,229,46.150966644299999,226.606801913999990
60648,229,46.945960998499999,227.605069764000010
60649,229,46.288002014200003,228.603337614000000
60650,229,47.636508941700001,229.601605463000000
60651,229,47.247085571299998,230.599873312999990
60652,229,47.297531127900001,231.598141163000010
60653,229,48.683021545400003,232.596409013000000
60654,229,47.387245178199997,233.594676862999990
60655,229,47.945369720499997,234.592944713000010
60656,229,47.758037567099997,235.591212562000010
60657,229,47.262294769299999,236.589480412999990
60658,229,47.262294769299999,237.587748263000010
60659,229,47.936264038099999,238.586016112000010
60660,229,47.920997619600001,239.584283962000000
60661,229,46.875175476099997,240.582551811999990
60662,229,48.018543243400003,241.580819662000010
60663,229,47.099502563500003,242.579087512000000
60664,229,48.380111694299998,243.577355361999990
60665,229,47.384510040300000,244.575623210999990
60666,229,48.575534820599998,245.573891061000010
60667,229,48.713481903100003,246.572158911000000
60668,229,47.690898895300002,247.570426760999990
60669,229,47.279415130600000,248.568694609999990
60670,229,49.161785125700000,249.566962460000010
60671,229,49.161785125700000,250.565230310000000
60672,229,47.256847381599997,251.563498159999990
60673,229,48.425098419199998,252.561766010000010
60674,229,48.095886230500000,253.560033860000000
60675,229,48.121883392299999,254.558301709000010
60676,229,47.696495056200000,255.556569560000010
60677,229,48.486011505100002,256.554837409000020
60678,229,48.119819641100001,257.553105259000010
60679,229,48.298156738300001,258.551373109000000
60680,229,48.556125640899999,259.549640958999990
60681,229,48.087093353299998,260.547908807999990
60682,229,47.828941345200001,261.546176659000030
60683,229,47.775749206500002,262.544444508000030
60684,229,47.791542053199997,263.542712358000020
60685,230,1.197808384900000,0.000000000000000
60686,230,1.322710633280000,0.998267850194000
60687,230,1.322710633280000,1.996535700250000
60688,230,1.467123150830000,2.994803550820000
60689,230,1.634607076640000,3.993071401770000
60690,230,1.713311076160000,4.991339251380000
60691,230,1.800965785980000,5.989607101950000
60692,230,1.977421164510000,6.987874952520000
60693,230,2.066444635390000,7.986142802200000
60694,230,2.273002386090000,8.984410653150000
60695,230,2.374381065370000,9.982678502760001
60696,230,2.532331228260000,10.980946353700000
60697,230,2.924528360370000,11.979214203900000
60698,230,3.119294404980000,12.977482053899999
60699,230,3.347595691680000,13.975749904500001
60700,230,3.428293466570000,14.974017755000000
60701,230,3.464136123660000,15.972285605200000
