FID,ID_1,RASTERVALU,NEAR_DIST
11756,133,0.954373598099000,7.925161076330000
11757,133,1.014351010320000,8.915806211040000
11758,133,1.080181479450000,9.906451345760001
11759,133,1.144916892050000,10.897096480000000
11760,133,1.181464195250000,11.887741614699999
11761,133,1.242253303530000,12.878386749900001
11762,133,1.264948487280000,13.869031883700000
11763,133,1.318978309630000,14.859677018399999
11764,133,1.413228988650000,15.850322153100000
11765,133,1.534473776820000,16.840967287400002
11766,133,1.662745237350000,17.831612422100001
11767,133,1.864156246190000,18.822257556800000
11768,133,2.116809606550000,19.812902691100000
11769,133,2.525714635850000,20.803547825799999
11770,133,3.552155494690000,21.794192960499998
11771,133,5.218286037450000,22.784838094700000
11772,133,7.091562271120000,23.775483229500001
11773,133,9.248809814450000,24.766128364200000
11774,133,10.294974327100000,25.756773498400001
11775,133,12.177718162500000,26.747418633100001
11776,133,13.505155563400001,27.738063767900002
11777,133,14.918562889100000,28.728708902099999
11778,133,16.084312439000001,29.719354037300000
11779,133,17.402557373000000,30.709999172000000
11780,133,18.945135116599999,31.700644305800001
11781,133,20.049915313700001,32.691289441000002
11782,133,21.445865631099998,33.681934575699998
11783,133,23.060514450100001,34.672579709899999
11784,133,24.895153045699999,35.663224844600002
11785,133,26.951150894200001,36.653869979400000
11786,133,28.727951049800001,37.644515113600001
11787,133,29.262691497799999,38.635160248299997
11788,133,30.147789001500001,39.625805382999999
11789,133,30.538274765000001,40.616450517300002
11790,133,30.099870681799999,41.607095651999998
11791,133,31.184328079200000,42.597740786300001
11792,133,30.942247390700000,43.588385920999997
11793,133,30.904958725000000,44.579031055199998
11794,133,30.485284805300001,45.569676189900001
11795,133,30.279838561999998,46.560321325099999
11796,133,30.337982177699999,47.550966459400001
11797,133,30.343961715700001,48.541611594099997
11798,133,30.352636337300002,49.532256728800000
11799,133,30.421325683599999,50.522901862600001
11800,133,30.397090911900001,51.513546997799999
11801,133,30.466409683199998,52.504192132500002
11802,133,30.437286377000000,53.494837266700003
11803,133,30.579416275000000,54.485482401500001
11804,133,31.128438949600000,55.476127536200003
11805,133,30.745183944699999,56.466772670399997
11806,133,31.131389617899998,57.457417805100000
11807,133,30.764350891100001,58.448062939899998
11808,133,30.515180587800000,59.438708074099999
11809,133,30.608430862399999,60.429353208800002
11810,133,30.482290267900002,61.419998344000000
11811,133,30.461397171000002,62.410643477800001
11812,133,30.518436431900000,63.401288612999998
11813,133,30.579612731899999,64.391933747699994
11814,133,30.753469467199999,65.382578881900002
